smiles,NG (1321/ 38650)
CC(N)C(O)c1ccccc1.Cl,0
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1
Oc1ccnc(S)n1,0
O=C(O)CCCN1C(=O)c2cccc3cccc(c23)C1=O,0
Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1.O=S(=O)(O)O,0
CCC(C)C1OC2(C=CC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,0
CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,0
NC(=O)c1ncn(C2OC(CO)C(O)C2O)c1N,0
CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],0
CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,0
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1.Cl,0
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1.Cl,0
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,0
CC(=O)Nc1ccc(C(=O)O)cc1,0
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,0
CC(=O)NC(CCC(N)=O)C(=O)O,1
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0
CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,1
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.O=C(O)C=CC(=O)O,0
CC1=CC(=O)[N-]S(=O)(=O)O1.[K+],0
CC(=O)Nc1ccc(O)cc1,0
CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1,1
CC(=O)Nc1ccccc1,0
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,0
CC(=O)Nc1nnc(S(N)(=O)=O)s1,0
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0
CC(=O)NO,0
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2.O=C(O)C=CC(=O)O,0
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,0
CC(=O)NC(CC(C)C)C(=O)O,0
CC(=O)OC(CC(=O)O)[N+](C)(C)C.[Cl-],0
CC(=O)OCC[N+](C)(C)C.[Cl-],0
CC(=O)NC(CS)C(=O)O,0
CC(=O)Oc1ccccc1C(=O)Nc1ccccc1,0
CC(=O)NCCCCCC(=O)O,0
Cc1cnc(C(=O)O)c[n+]1[O-],0
COc1cc(C)c(C=CC=CC=CC=CC(=O)O)c(C)c1C,1
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],1
CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12,1
CC(=O)Nc1ccc(CC(=O)O)cc1,0
CCOc1ccc(S(=O)(=O)[O-])c2cccnc12.[Na+],0
Nc1nc2c(ncn2COCCO)c(=O)[nH]1,0
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,0
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,0
O=C(CCCCCCCC(=O)NCCO)NCCO,0
Nc1ncnc2[nH]cnc12,0
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,0
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)([O-])OP(=O)([O-])O)C(O)C1O.[Na+].[Na+],0
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1.Cl,0
O=C(O)CCCCC(=O)O,0
CNCC(=O)c1ccc(O)c(O)c1.Cl,0
CC(=O)NC(Cc1ccccc1)C(=O)O,0
COc1ccc2cccc(CCNC(C)=O)c2c1,0
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,0
NC(=O)c1ccc([N+](=O)[O-])cc1Cl,1
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,0
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0
NCCCC(O)(P(=O)(O)O)P(=O)(O)O.O.O.O.[Na+],0
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl,0
COC1C(C(=O)O)OC(C)C(O)C1O.COC1OC(C(=O)O)C(O)C(O)C1O,0
COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC.O=C(O)C=CC(=O)O,0
NC(=O)NC1NC(=O)NC1=O,0
O=c1[nH]cnc2[nH]ncc12,0
